fen,played_move_uci
8/4b3/1p2p1k1/3nPp2/P1pP1P1p/2P2K2/3B4/8 b - - 3 49,g6h5
8/4b3/1p2p3/3nPp1k/P1pP1P1p/2P2K2/3B4/8 w - - 4 50,d2e1
8/4b3/1p2p3/3nPp1k/P1pP1P1p/2P2K2/8/4B3 b - - 5 50,e7a3
8/8/1p2p3/3nPp1k/P1pP1P1p/b1P2K2/8/4B3 w - - 6 51,f3g2
8/8/1p2p3/3nPp1k/P1pP1P1p/b1P5/6K1/4B3 b - - 7 51,h5g4
8/8/1p2p3/3nPp2/P1pP1Pkp/b1P5/6K1/4B3 w - - 8 52,a4a5
8/8/1p2p3/P2nPp2/2pP1Pkp/b1P5/6K1/4B3 b - - 0 52,d5f4
8/8/1p2p3/P3Pp2/2pP1nkp/b1P5/6K1/4B3 w - - 0 53,g2h2
8/8/1p2p3/P3Pp2/2pP1nkp/b1P5/7K/4B3 b - - 1 53,b6a5
8/8/4p3/p3Pp2/2pP1nkp/b1P5/7K/4B3 w - - 0 54,e1d2
8/8/4p3/p3Pp2/2pP1nkp/b1P5/3B3K/8 b - - 1 54,f4d5
8/8/4p3/p2nPp2/2pP2kp/b1P5/3B3K/8 w - - 2 55,h2g2
8/8/4p3/p2nPp2/2pP2kp/b1P5/3B2K1/8 b - - 3 55,a3b2
8/8/4p3/p2nPp2/2pP2kp/2P5/1b1B2K1/8 w - - 4 56,d2h6
8/8/4p2B/p2nPp2/2pP2kp/2P5/1b4K1/8 b - - 5 56,a5a4
8/8/4p2B/3nPp2/p1pP2kp/2P5/1b4K1/8 w - - 0 57,h6f8
5B2/8/4p3/3nPp2/p1pP2kp/2P5/1b4K1/8 b - - 1 57,a4a3
5B2/8/4p3/3nPp2/2pP2kp/p1P5/1b4K1/8 w - - 0 58,f8a3
8/8/4p3/3nPp2/2pP2kp/B1P5/1b4K1/8 b - - 0 58,b2a3
8/8/4p3/3nPp2/2pP2kp/b1P5/6K1/8 w - - 0 59,g2f2
8/8/4p3/3nPp2/2pP2kp/b1P5/5K2/8 b - - 1 59,a3c1
8/8/4p3/3nPp2/2pP2kp/2P5/5K2/2b5 w - - 2 60,f2e2
8/8/4p3/3nPp2/2pP2kp/2P5/4K3/2b5 b - - 3 60,c1f4
8/8/4p3/3nPp2/2pP1bkp/2P5/4K3/8 w - - 4 61,e2f2
8/8/4p3/3nPp2/2pP1bkp/2P5/5K2/8 b - - 5 61,h4h3
8/8/4p3/3nPp2/2pP1bk1/2P4p/5K2/8 w - - 0 62,f2g1
8/8/4p3/3nPp2/2pP1bk1/2P4p/8/6K1 b - - 1 62,d5c3
8/8/4p3/4Pp2/2pP1bk1/2n4p/8/6K1 w - - 0 63,d4d5
8/8/4p3/3PPp2/2p2bk1/2n4p/8/6K1 b - - 0 63,c3d5
8/8/4p3/3nPp2/2p2bk1/7p/8/6K1 w - - 0 64,g1h1
8/8/4p3/3nPp2/2p2bk1/7p/8/7K b - - 1 64,h3h2
8/8/4p3/3nPp2/2p2bk1/8/7p/7K w - - 0 65,h1g2
8/8/4p3/3nPp2/2p2bk1/8/6Kp/8 b - - 1 65,f4e5
8/8/4p3/3nbp2/2p3k1/8/6Kp/8 w - - 0 66,g2h1
8/8/4p3/3nbp2/2p3k1/8/7p/7K b - - 1 66,c4c3
8/8/4p3/3nbp2/6k1/2p5/7p/7K w - - 0 67,h1g2
8/8/4p3/3nbp2/6k1/2p5/6Kp/8 b - - 1 67,c3c2
8/8/4p3/3nbp2/6k1/8/2p3Kp/8 w - - 0 68,g2f2
8/8/4p3/3nbp2/6k1/8/2p2K1p/8 b - - 1 68,e5g3
8/8/4p3/3n1p2/6k1/6b1/2p2K1p/8 w - - 2 69,f2e2
8/8/4p3/3n1p2/6k1/6b1/2p1K2p/8 b - - 3 69,c2c1q
8/8/4p3/3n1p2/6k1/6b1/4K2p/2q5 w - - 0 70,e2d3
8/8/4p3/3n1p2/6k1/3K2b1/7p/2q5 b - - 1 70,c1c3
8/8/4p3/3n1p2/6k1/2qK2b1/7p/8 w - - 2 71,d3e2
8/8/4p3/3n1p2/6k1/2q3b1/4K2p/8 b - - 3 71,c3e3
8/8/4p3/3n1p2/6k1/4q1b1/4K2p/8 w - - 4 72,e2d1
8/8/4p3/3n1p2/6k1/4q1b1/7p/3K4 b - - 5 72,e3f2
8/8/4p3/3n1p2/6k1/6b1/5q1p/3K4 w - - 6 73,d1c1
8/8/4p3/3n1p2/6k1/6b1/5q1p/2K5 b - - 7 73,g3f4
8/8/4p3/3n1p2/5bk1/8/5q1p/2K5 w - - 8 74,c1b1
8/8/4p3/3n1p2/5bk1/8/5q1p/1K6 b - - 9 74,d5c3
8/8/4p3/5p2/5bk1/2n5/5q1p/1K6 w - - 10 75,b1a1
8/8/4p3/5p2/5bk1/2n5/5q1p/K7 b - - 11 75,f2a2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g8f6
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,g1f3
rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 2 2,c7c5
rnbqkb1r/pp1ppppp/5n2/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,d4c5
rnbqkb1r/pp1ppppp/5n2/2P5/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,e7e6
rnbqkb1r/pp1p1ppp/4pn2/2P5/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 4,c1e3
rnbqkb1r/pp1p1ppp/4pn2/2P5/8/4BN2/PPP1PPPP/RN1QKB1R b KQkq - 1 4,b8a6
r1bqkb1r/pp1p1ppp/n3pn2/2P5/8/4BN2/PPP1PPPP/RN1QKB1R w KQkq - 2 5,c2c4
r1bqkb1r/pp1p1ppp/n3pn2/2P5/2P5/4BN2/PP2PPPP/RN1QKB1R b KQkq - 0 5,a6c5
r1bqkb1r/pp1p1ppp/4pn2/2n5/2P5/4BN2/PP2PPPP/RN1QKB1R w KQkq - 0 6,b1c3
r1bqkb1r/pp1p1ppp/4pn2/2n5/2P5/2N1BN2/PP2PPPP/R2QKB1R b KQkq - 1 6,b7b6
r1bqkb1r/p2p1ppp/1p2pn2/2n5/2P5/2N1BN2/PP2PPPP/R2QKB1R w KQkq - 0 7,g2g3
r1bqkb1r/p2p1ppp/1p2pn2/2n5/2P5/2N1BNP1/PP2PP1P/R2QKB1R b KQkq - 0 7,c8b7
r2qkb1r/pb1p1ppp/1p2pn2/2n5/2P5/2N1BNP1/PP2PP1P/R2QKB1R w KQkq - 1 8,f1g2
r2qkb1r/pb1p1ppp/1p2pn2/2n5/2P5/2N1BNP1/PP2PPBP/R2QK2R b KQkq - 2 8,a7a6
r2qkb1r/1b1p1ppp/pp2pn2/2n5/2P5/2N1BNP1/PP2PPBP/R2QK2R w KQkq - 0 9,e1g1
r2qkb1r/1b1p1ppp/pp2pn2/2n5/2P5/2N1BNP1/PP2PPBP/R2Q1RK1 b kq - 1 9,d8c7
r3kb1r/1bqp1ppp/pp2pn2/2n5/2P5/2N1BNP1/PP2PPBP/R2Q1RK1 w kq - 2 10,a1c1
r3kb1r/1bqp1ppp/pp2pn2/2n5/2P5/2N1BNP1/PP2PPBP/2RQ1RK1 b kq - 3 10,d7d6
r3kb1r/1bq2ppp/pp1ppn2/2n5/2P5/2N1BNP1/PP2PPBP/2RQ1RK1 w kq - 0 11,a2a3
r3kb1r/1bq2ppp/pp1ppn2/2n5/2P5/P1N1BNP1/1P2PPBP/2RQ1RK1 b kq - 0 11,f8e7
r3k2r/1bq1bppp/pp1ppn2/2n5/2P5/P1N1BNP1/1P2PPBP/2RQ1RK1 w kq - 1 12,b2b4
r3k2r/1bq1bppp/pp1ppn2/2n5/1PP5/P1N1BNP1/4PPBP/2RQ1RK1 b kq - 0 12,c5d7
r3k2r/1bqnbppp/pp1ppn2/8/1PP5/P1N1BNP1/4PPBP/2RQ1RK1 w kq - 1 13,d1d3
r3k2r/1bqnbppp/pp1ppn2/8/1PP5/P1NQBNP1/4PPBP/2R2RK1 b kq - 2 13,e8g8
r4rk1/1bqnbppp/pp1ppn2/8/1PP5/P1NQBNP1/4PPBP/2R2RK1 w - - 3 14,f1d1
r4rk1/1bqnbppp/pp1ppn2/8/1PP5/P1NQBNP1/4PPBP/2RR2K1 b - - 4 14,a8c8
2r2rk1/1bqnbppp/pp1ppn2/8/1PP5/P1NQBNP1/4PPBP/2RR2K1 w - - 5 15,c3a4
2r2rk1/1bqnbppp/pp1ppn2/8/NPP5/P2QBNP1/4PPBP/2RR2K1 b - - 6 15,b7a8
b1r2rk1/2qnbppp/pp1ppn2/8/NPP5/P2QBNP1/4PPBP/2RR2K1 w - - 7 16,d3d4
b1r2rk1/2qnbppp/pp1ppn2/8/NPPQ4/P3BNP1/4PPBP/2RR2K1 b - - 8 16,c8b8
br3rk1/2qnbppp/pp1ppn2/8/NPPQ4/P3BNP1/4PPBP/2RR2K1 w - - 9 17,d4b2
br3rk1/2qnbppp/pp1ppn2/8/NPP5/P3BNP1/1Q2PPBP/2RR2K1 b - - 10 17,f8e8
br2r1k1/2qnbppp/pp1ppn2/8/NPP5/P3BNP1/1Q2PPBP/2RR2K1 w - - 11 18,e3f4
br2r1k1/2qnbppp/pp1ppn2/8/NPP2B2/P4NP1/1Q2PPBP/2RR2K1 b - - 12 18,d7e5
br2r1k1/2q1bppp/pp1ppn2/4n3/NPP2B2/P4NP1/1Q2PPBP/2RR2K1 w - - 13 19,b2c3
br2r1k1/2q1bppp/pp1ppn2/4n3/NPP2B2/P1Q2NP1/4PPBP/2RR2K1 b - - 14 19,h7h6
br2r1k1/2q1bpp1/pp1ppn1p/4n3/NPP2B2/P1Q2NP1/4PPBP/2RR2K1 w - - 0 20,c4c5
br2r1k1/2q1bpp1/pp1ppn1p/2P1n3/NP3B2/P1Q2NP1/4PPBP/2RR2K1 b - - 0 20,b6c5
br2r1k1/2q1bpp1/p2ppn1p/2p1n3/NP3B2/P1Q2NP1/4PPBP/2RR2K1 w - - 0 21,b4c5
br2r1k1/2q1bpp1/p2ppn1p/2P1n3/N4B2/P1Q2NP1/4PPBP/2RR2K1 b - - 0 21,f6e4
br2r1k1/2q1bpp1/p2pp2p/2P1n3/N3nB2/P1Q2NP1/4PPBP/2RR2K1 w - - 1 22,c5d6
br2r1k1/2q1bpp1/p2Pp2p/4n3/N3nB2/P1Q2NP1/4PPBP/2RR2K1 b - - 0 22,e4c3
br2r1k1/2q1bpp1/p2Pp2p/4n3/N4B2/P1n2NP1/4PPBP/2RR2K1 w - - 0 23,d6c7
br2r1k1/2P1bpp1/p3p2p/4n3/N4B2/P1n2NP1/4PPBP/2RR2K1 b - - 0 23,c3e2
br2r1k1/2P1bpp1/p3p2p/4n3/N4B2/P4NP1/4nPBP/2RR2K1 w - - 0 24,g1f1
br2r1k1/2P1bpp1/p3p2p/4n3/N4B2/P4NP1/4nPBP/2RR1K2 b - - 1 24,e2f4
br2r1k1/2P1bpp1/p3p2p/4n3/N4n2/P4NP1/5PBP/2RR1K2 w - - 0 25,c7b8q
bQ2r1k1/4bpp1/p3p2p/4n3/N4n2/P4NP1/5PBP/2RR1K2 b - - 0 25,e8b8
br4k1/4bpp1/p3p2p/4n3/N4n2/P4NP1/5PBP/2RR1K2 w - - 0 26,f3e5
br4k1/4bpp1/p3p2p/4N3/N4n2/P5P1/5PBP/2RR1K2 b - - 0 26,a8g2
1r4k1/4bpp1/p3p2p/4N3/N4n2/P5P1/5PbP/2RR1K2 w - - 0 27,f1g1
1r4k1/4bpp1/p3p2p/4N3/N4n2/P5P1/5PbP/2RR2K1 b - - 1 27,f4d5
1r4k1/4bpp1/p3p2p/3nN3/N7/P5P1/5PbP/2RR2K1 w - - 2 28,g1g2
1r4k1/4bpp1/p3p2p/3nN3/N7/P5P1/5PKP/2RR4 b - - 0 28,e7a3
1r4k1/5pp1/p3p2p/3nN3/N7/b5P1/5PKP/2RR4 w - - 0 29,c1a1
1r4k1/5pp1/p3p2p/3nN3/N7/b5P1/5PKP/R2R4 b - - 1 29,a3d6
1r4k1/5pp1/p2bp2p/3nN3/N7/6P1/5PKP/R2R4 w - - 2 30,e5c4
1r4k1/5pp1/p2bp2p/3n4/N1N5/6P1/5PKP/R2R4 b - - 3 30,d6e7
1r4k1/4bpp1/p3p2p/3n4/N1N5/6P1/5PKP/R2R4 w - - 4 31,a1b1
1r4k1/4bpp1/p3p2p/3n4/N1N5/6P1/5PKP/1R1R4 b - - 5 31,b8c8
2r3k1/4bpp1/p3p2p/3n4/N1N5/6P1/5PKP/1R1R4 w - - 6 32,a4b6
2r3k1/4bpp1/pN2p2p/3n4/2N5/6P1/5PKP/1R1R4 b - - 7 32,c8c6
6k1/4bpp1/pNr1p2p/3n4/2N5/6P1/5PKP/1R1R4 w - - 8 33,b6d5
6k1/4bpp1/p1r1p2p/3N4/2N5/6P1/5PKP/1R1R4 b - - 0 33,e6d5
6k1/4bpp1/p1r4p/3p4/2N5/6P1/5PKP/1R1R4 w - - 0 34,c4e3
6k1/4bpp1/p1r4p/3p4/8/4N1P1/5PKP/1R1R4 b - - 1 34,d5d4
6k1/4bpp1/p1r4p/8/3p4/4N1P1/5PKP/1R1R4 w - - 0 35,d1d4
6k1/4bpp1/p1r4p/8/3R4/4N1P1/5PKP/1R6 b - - 0 35,a6a5
6k1/4bpp1/2r4p/p7/3R4/4N1P1/5PKP/1R6 w - - 0 36,d4a4
6k1/4bpp1/2r4p/p7/R7/4N1P1/5PKP/1R6 b - - 1 36,e7b4
6k1/5pp1/2r4p/p7/Rb6/4N1P1/5PKP/1R6 w - - 2 37,e3d5
6k1/5pp1/2r4p/p2N4/Rb6/6P1/5PKP/1R6 b - - 3 37,b4d2
6k1/5pp1/2r4p/p2N4/R7/6P1/3b1PKP/1R6 w - - 4 38,b1d1
6k1/5pp1/2r4p/p2N4/R7/6P1/3b1PKP/3R4 b - - 5 38,d2g5
6k1/5pp1/2r4p/p2N2b1/R7/6P1/5PKP/3R4 w - - 6 39,a4a5
6k1/5pp1/2r4p/R2N2b1/8/6P1/5PKP/3R4 b - - 0 39,g8h7
8/5ppk/2r4p/R2N2b1/8/6P1/5PKP/3R4 w - - 1 40,h2h4
8/5ppk/2r4p/R2N2b1/7P/6P1/5PK1/3R4 b - - 0 40,g5d8
3b4/5ppk/2r4p/R2N4/7P/6P1/5PK1/3R4 w - - 1 41,d5e3
3b4/5ppk/2r4p/R7/7P/4N1P1/5PK1/3R4 b - - 2 41,d8a5
8/5ppk/2r4p/b7/7P/4N1P1/5PK1/3R4 w - - 0 42,d1d5
8/5ppk/2r4p/b2R4/7P/4N1P1/5PK1/8 b - - 1 42,a5b6
8/5ppk/1br4p/3R4/7P/4N1P1/5PK1/8 w - - 2 43,e3g4
8/5ppk/1br4p/3R4/6NP/6P1/5PK1/8 b - - 3 43,c6e6
8/5ppk/1b2r2p/3R4/6NP/6P1/5PK1/8 w - - 4 44,d5f5
8/5ppk/1b2r2p/5R2/6NP/6P1/5PK1/8 b - - 5 44,f7f6
8/6pk/1b2rp1p/5R2/6NP/6P1/5PK1/8 w - - 0 45,f5f3
8/6pk/1b2rp1p/8/6NP/5RP1/5PK1/8 b - - 1 45,h6h5
8/6pk/1b2rp2/7p/6NP/5RP1/5PK1/8 w - - 0 46,g4h2
8/6pk/1b2rp2/7p/7P/5RP1/5PKN/8 b - - 1 46,e6e2
8/6pk/1b3p2/7p/7P/5RP1/4rPKN/8 w - - 2 47,h2f1
8/6pk/1b3p2/7p/7P/5RP1/4rPK1/5N2 b - - 3 47,h7g6
8/6p1/1b3pk1/7p/7P/5RP1/4rPK1/5N2 w - - 4 48,f1e3
8/6p1/1b3pk1/7p/7P/4NRP1/4rPK1/8 b - - 5 48,b6e3
8/6p1/5pk1/7p/7P/4bRP1/4rPK1/8 w - - 0 49,f3e3
8/6p1/5pk1/7p/7P/4R1P1/4rPK1/8 b - - 0 49,e2e3
8/6p1/5pk1/7p/7P/4r1P1/5PK1/8 w - - 0 50,f2e3
8/6p1/5pk1/7p/7P/4P1P1/6K1/8 b - - 0 50,g6f5
8/6p1/5p2/5k1p/7P/4P1P1/6K1/8 w - - 1 51,g2f3
8/6p1/5p2/5k1p/7P/4PKP1/8/8 b - - 2 51,g7g5
8/8/5p2/5kpp/7P/4PKP1/8/8 w - - 0 52,e3e4
8/8/5p2/5kpp/4P2P/5KP1/8/8 b - - 0 52,f5e5
8/8/5p2/4k1pp/4P2P/5KP1/8/8 w - - 1 53,h4g5
8/8/5p2/4k1Pp/4P3/5KP1/8/8 b - - 0 53,f6g5
8/8/8/4k1pp/4P3/5KP1/8/8 w - - 0 54,f3e3
8/8/8/4k1pp/4P3/4K1P1/8/8 b - - 1 54,e5e6
8/8/4k3/6pp/4P3/4K1P1/8/8 w - - 2 55,e3d4
8/8/4k3/6pp/3KP3/6P1/8/8 b - - 3 55,e6d6
8/8/3k4/6pp/3KP3/6P1/8/8 w - - 4 56,e4e5
8/8/3k4/4P1pp/3K4/6P1/8/8 b - - 0 56,d6e6
8/8/4k3/4P1pp/3K4/6P1/8/8 w - - 1 57,d4e4
8/8/4k3/4P1pp/4K3/6P1/8/8 b - - 2 57,h5h4
8/8/4k3/4P1p1/4K2p/6P1/8/8 w - - 0 58,g3h4
8/8/4k3/4P1p1/4K2P/8/8/8 b - - 0 58,g5h4
8/8/4k3/4P3/4K2p/8/8/8 w - - 0 59,e4f4
8/8/4k3/4P3/5K1p/8/8/8 b - - 1 59,h4h3
8/8/4k3/4P3/5K2/7p/8/8 w - - 0 60,f4g3
8/8/4k3/4P3/8/6Kp/8/8 b - - 1 60,h3h2
8/8/4k3/4P3/8/6K1/7p/8 w - - 0 61,g3h2
8/8/4k3/4P3/8/8/7K/8 b - - 0 61,e6e5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e4
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d5e4
rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,b1c3
rnbqkbnr/ppp1pppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,b8c6
r1bqkbnr/ppp1pppp/2n5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,d4d5
r1bqkbnr/ppp1pppp/2n5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,c6b8
rnbqkbnr/ppp1pppp/8/3P4/4p3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,f2f3
rnbqkbnr/ppp1pppp/8/3P4/4p3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 5,e4e3
rnbqkbnr/ppp1pppp/8/3P4/8/2N1pP2/PPP3PP/R1BQKBNR w KQkq - 0 6,c1e3
rnbqkbnr/ppp1pppp/8/3P4/8/2N1BP2/PPP3PP/R2QKBNR b KQkq - 0 6,g8f6
rnbqkb1r/ppp1pppp/5n2/3P4/8/2N1BP2/PPP3PP/R2QKBNR w KQkq - 1 7,d1d2
rnbqkb1r/ppp1pppp/5n2/3P4/8/2N1BP2/PPPQ2PP/R3KBNR b KQkq - 2 7,b8d7
r1bqkb1r/pppnpppp/5n2/3P4/8/2N1BP2/PPPQ2PP/R3KBNR w KQkq - 3 8,e1c1
r1bqkb1r/pppnpppp/5n2/3P4/8/2N1BP2/PPPQ2PP/2KR1BNR b kq - 4 8,d7b6
r1bqkb1r/ppp1pppp/1n3n2/3P4/8/2N1BP2/PPPQ2PP/2KR1BNR w kq - 5 9,g2g4
r1bqkb1r/ppp1pppp/1n3n2/3P4/6P1/2N1BP2/PPPQ3P/2KR1BNR b kq - 0 9,g7g6
r1bqkb1r/ppp1pp1p/1n3np1/3P4/6P1/2N1BP2/PPPQ3P/2KR1BNR w kq - 0 10,g4g5
r1bqkb1r/ppp1pp1p/1n3np1/3P2P1/8/2N1BP2/PPPQ3P/2KR1BNR b kq - 0 10,f6h5
r1bqkb1r/ppp1pp1p/1n4p1/3P2Pn/8/2N1BP2/PPPQ3P/2KR1BNR w kq - 1 11,g1e2
r1bqkb1r/ppp1pp1p/1n4p1/3P2Pn/8/2N1BP2/PPPQN2P/2KR1B1R b kq - 2 11,f8g7
r1bqk2r/ppp1ppbp/1n4p1/3P2Pn/8/2N1BP2/PPPQN2P/2KR1B1R w kq - 3 12,e2g3
r1bqk2r/ppp1ppbp/1n4p1/3P2Pn/8/2N1BPN1/PPPQ3P/2KR1B1R b kq - 4 12,h5g3
r1bqk2r/ppp1ppbp/1n4p1/3P2P1/8/2N1BPn1/PPPQ3P/2KR1B1R w kq - 0 13,h2g3
r1bqk2r/ppp1ppbp/1n4p1/3P2P1/8/2N1BPP1/PPPQ4/2KR1B1R b kq - 0 13,c8f5
r2qk2r/ppp1ppbp/1n4p1/3P1bP1/8/2N1BPP1/PPPQ4/2KR1B1R w kq - 1 14,g3g4
r2qk2r/ppp1ppbp/1n4p1/3P1bP1/6P1/2N1BP2/PPPQ4/2KR1B1R b kq - 0 14,f5d7
r2qk2r/pppbppbp/1n4p1/3P2P1/6P1/2N1BP2/PPPQ4/2KR1B1R w kq - 1 15,e3d4
r2qk2r/pppbppbp/1n4p1/3P2P1/3B2P1/2N2P2/PPPQ4/2KR1B1R b kq - 2 15,e8f8
r2q1k1r/pppbppbp/1n4p1/3P2P1/3B2P1/2N2P2/PPPQ4/2KR1B1R w - - 3 16,f3f4
r2q1k1r/pppbppbp/1n4p1/3P2P1/3B1PP1/2N5/PPPQ4/2KR1B1R b - - 0 16,c7c6
r2q1k1r/pp1bppbp/1np3p1/3P2P1/3B1PP1/2N5/PPPQ4/2KR1B1R w - - 0 17,d4g7
r2q1k1r/pp1bppBp/1np3p1/3P2P1/5PP1/2N5/PPPQ4/2KR1B1R b - - 0 17,f8g7
r2q3r/pp1bppkp/1np3p1/3P2P1/5PP1/2N5/PPPQ4/2KR1B1R w - - 0 18,d2d4
r2q3r/pp1bppkp/1np3p1/3P2P1/3Q1PP1/2N5/PPP5/2KR1B1R b - - 1 18,g7g8
r2q2kr/pp1bpp1p/1np3p1/3P2P1/3Q1PP1/2N5/PPP5/2KR1B1R w - - 2 19,f4f5
r2q2kr/pp1bpp1p/1np3p1/3P1PP1/3Q2P1/2N5/PPP5/2KR1B1R b - - 0 19,c6d5
r2q2kr/pp1bpp1p/1n4p1/3p1PP1/3Q2P1/2N5/PPP5/2KR1B1R w - - 0 20,f5f6
r2q2kr/pp1bpp1p/1n3Pp1/3p2P1/3Q2P1/2N5/PPP5/2KR1B1R b - - 0 20,e7e6
r2q2kr/pp1b1p1p/1n2pPp1/3p2P1/3Q2P1/2N5/PPP5/2KR1B1R w - - 0 21,h1h6
r2q2kr/pp1b1p1p/1n2pPpR/3p2P1/3Q2P1/2N5/PPP5/2KR1B2 b - - 1 21,d8c7
r5kr/ppqb1p1p/1n2pPpR/3p2P1/3Q2P1/2N5/PPP5/2KR1B2 w - - 2 22,f1e2
r5kr/ppqb1p1p/1n2pPpR/3p2P1/3Q2P1/2N5/PPP1B3/2KR4 b - - 3 22,a8c8
2r3kr/ppqb1p1p/1n2pPpR/3p2P1/3Q2P1/2N5/PPP1B3/2KR4 w - - 4 23,c1b1
2r3kr/ppqb1p1p/1n2pPpR/3p2P1/3Q2P1/2N5/PPP1B3/1K1R4 b - - 5 23,b6c4
2r3kr/ppqb1p1p/4pPpR/3p2P1/2nQ2P1/2N5/PPP1B3/1K1R4 w - - 6 24,e2c4
2r3kr/ppqb1p1p/4pPpR/3p2P1/2BQ2P1/2N5/PPP5/1K1R4 b - - 0 24,c7c4
2r3kr/pp1b1p1p/4pPpR/3p2P1/2qQ2P1/2N5/PPP5/1K1R4 w - - 0 25,d4e5
2r3kr/pp1b1p1p/4pPpR/3pQ1P1/2q3P1/2N5/PPP5/1K1R4 b - - 1 25,c4g4
2r3kr/pp1b1p1p/4pPpR/3pQ1P1/6q1/2N5/PPP5/1K1R4 w - - 0 26,d1h1
2r3kr/pp1b1p1p/4pPpR/3pQ1P1/6q1/2N5/PPP5/1K5R b - - 1 26,g4g2
2r3kr/pp1b1p1p/4pPpR/3pQ1P1/8/2N5/PPP3q1/1K5R w - - 2 27,a2a3
2r3kr/pp1b1p1p/4pPpR/3pQ1P1/8/P1N5/1PP3q1/1K5R b - - 0 27,d5d4
2r3kr/pp1b1p1p/4pPpR/4Q1P1/3p4/P1N5/1PP3q1/1K5R w - - 0 28,e5d4
2r3kr/pp1b1p1p/4pPpR/6P1/3Q4/P1N5/1PP3q1/1K5R b - - 0 28,d7c6
2r3kr/pp3p1p/2b1pPpR/6P1/3Q4/P1N5/1PP3q1/1K5R w - - 1 29,h1d1
2r3kr/pp3p1p/2b1pPpR/6P1/3Q4/P1N5/1PP3q1/1K1R4 b - - 2 29,c8e8
4r1kr/pp3p1p/2b1pPpR/6P1/3Q4/P1N5/1PP3q1/1K1R4 w - - 3 30,d4c5
4r1kr/pp3p1p/2b1pPpR/2Q3P1/8/P1N5/1PP3q1/1K1R4 b - - 4 30,g2g4
4r1kr/pp3p1p/2b1pPpR/2Q3P1/6q1/P1N5/1PP5/1K1R4 w - - 5 31,b2b4
4r1kr/pp3p1p/2b1pPpR/2Q3P1/1P4q1/P1N5/2P5/1K1R4 b - - 0 31,e6e5
4r1kr/pp3p1p/2b2PpR/2Q1p1P1/1P4q1/P1N5/2P5/1K1R4 w - - 0 32,b4b5
4r1kr/pp3p1p/2b2PpR/1PQ1p1P1/6q1/P1N5/2P5/1K1R4 b - - 0 32,g4g5
4r1kr/pp3p1p/2b2PpR/1PQ1p1q1/8/P1N5/2P5/1K1R4 w - - 0 33,h6h2
4r1kr/pp3p1p/2b2Pp1/1PQ1p1q1/8/P1N5/2P4R/1K1R4 b - - 1 33,g5f6
4r1kr/pp3p1p/2b2qp1/1PQ1p3/8/P1N5/2P4R/1K1R4 w - - 0 34,b5c6
4r1kr/pp3p1p/2P2qp1/2Q1p3/8/P1N5/2P4R/1K1R4 b - - 0 34,b7c6
4r1kr/p4p1p/2p2qp1/2Q1p3/8/P1N5/2P4R/1K1R4 w - - 0 35,c3e4
4r1kr/p4p1p/2p2qp1/2Q1p3/4N3/P7/2P4R/1K1R4 b - - 1 35,f6e6
4r1kr/p4p1p/2p1q1p1/2Q1p3/4N3/P7/2P4R/1K1R4 w - - 2 36,d1d6
4r1kr/p4p1p/2pRq1p1/2Q1p3/4N3/P7/2P4R/1K6 b - - 3 36,e8b8
1r4kr/p4p1p/2pRq1p1/2Q1p3/4N3/P7/2P4R/1K6 w - - 4 37,b1a1
1r4kr/p4p1p/2pRq1p1/2Q1p3/4N3/P7/2P4R/K7 b - - 5 37,e6f5
1r4kr/p4p1p/2pR2p1/2Q1pq2/4N3/P7/2P4R/K7 w - - 6 38,c5c4
1r4kr/p4p1p/2pR2p1/4pq2/2Q1N3/P7/2P4R/K7 b - - 7 38,g8g7
1r5r/p4pkp/2pR2p1/4pq2/2Q1N3/P7/2P4R/K7 w - - 8 39,d6f6
1r5r/p4pkp/2p2Rp1/4pq2/2Q1N3/P7/2P4R/K7 b - - 9 39,f5d7
