fen,played_move_uci
r1bqk1n1/pppn1pb1/3p2p1/8/3P1Q2/2P5/PP2PPP1/RN2KBN1 w Qq - 1 10,g1f3
r1bqk1n1/pppn1pb1/3p2p1/8/3P1Q2/2P2N2/PP2PPP1/RN2KB2 b Qq - 2 10,d8e7
r1b1k1n1/pppnqpb1/3p2p1/8/3P1Q2/2P2N2/PP2PPP1/RN2KB2 w Qq - 3 11,b1d2
r1b1k1n1/pppnqpb1/3p2p1/8/3P1Q2/2P2N2/PP1NPPP1/R3KB2 b Qq - 4 11,g8f6
r1b1k3/pppnqpb1/3p1np1/8/3P1Q2/2P2N2/PP1NPPP1/R3KB2 w Qq - 5 12,d2c4
r1b1k3/pppnqpb1/3p1np1/8/2NP1Q2/2P2N2/PP2PPP1/R3KB2 b Qq - 6 12,b7b6
r1b1k3/p1pnqpb1/1p1p1np1/8/2NP1Q2/2P2N2/PP2PPP1/R3KB2 w Qq - 0 13,c4e3
r1b1k3/p1pnqpb1/1p1p1np1/8/3P1Q2/2P1NN2/PP2PPP1/R3KB2 b Qq - 1 13,c8b7
r3k3/pbpnqpb1/1p1p1np1/8/3P1Q2/2P1NN2/PP2PPP1/R3KB2 w Qq - 2 14,f3g5
r3k3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N3/PP2PPP1/R3KB2 b Qq - 3 14,e8c8
2kr4/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N3/PP2PPP1/R3KB2 w Q - 4 15,g2g3
2kr4/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1P1/PP2PP2/R3KB2 b Q - 0 15,d8e8
2k1r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1P1/PP2PP2/R3KB2 w Q - 1 16,f1h3
2k1r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/R3K3 b Q - 2 16,c8b8
1k2r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/R3K3 w Q - 3 17,e1c1
1k2r3/pbpnqpb1/1p1p1np1/6N1/3P1Q2/2P1N1PB/PP2PP2/2KR4 b - - 4 17,f6h5
1k2r3/pbpnqpb1/1p1p2p1/6Nn/3P1Q2/2P1N1PB/PP2PP2/2KR4 w - - 5 18,f4h4
1k2r3/pbpnqpb1/1p1p2p1/6Nn/3P3Q/2P1N1PB/PP2PP2/2KR4 b - - 6 18,g7f6
