fen,played_move_uci,best_move_uci,best_eval
rnbqk1nr/ppp1ppbp/3p2p1/8/3P1B2/2P5/PP2PPPP/RN1QKBNR w KQkq - 0 4,d1d2,e2e4,12
rnbqk1nr/ppp1ppbp/3p2p1/8/3P1B2/2P5/PP1QPPPP/RN2KBNR b KQkq - 1 4,b8d7,g8f6,47
r1bqk1nr/pppnppbp/3p2p1/8/3P1B2/2P5/PP1QPPPP/RN2KBNR w KQkq - 2 5,h2h4,e2e4,-20
r1bqk1nr/pppnppbp/3p2p1/8/3P1B1P/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 5,e7e5,e7e5,80
r1bqk1nr/pppn1pbp/3p2p1/4p3/3P1B1P/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 6,h4h5,f4g5,-83
r1bqk1nr/pppn1pbp/3p2p1/4p2P/3P1B2/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 6,e5f4,e5f4,436
r1bqk1nr/pppn1pbp/3p2p1/7P/3P1p2/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 7,h5g6,h5g6,-441
r1bqk1nr/pppn1pbp/3p2P1/8/3P1p2/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 7,h7g6,h7g6,469
r1bqk1nr/pppn1pb1/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 8,h1h8,h1h8,-471
r1bqk1nR/pppn1pb1/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBN1 b Qq - 0 8,g7h8,g7h8,444
r1bqk1nb/pppn1p2/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBN1 w Qq - 0 9,d2f4,d2f4,-450
r1bqk1nb/pppn1p2/3p2p1/8/3P1Q2/2P5/PP2PPP1/RN2KBN1 b Qq - 0 9,h8g7,h8g7,460
r1bqk1n1/pppn1pb1/3p2p1/8/3P1Q2/2P5/PP2PPP1/RN2KBN1 w Qq - 1 10,g1f3,b1d2,-448
r1bqk1n1/pppn1pb1/3p2p1/8/3P1Q2/2P2N2/PP2PPP1/RN2KB2 b Qq - 2 10,d8e7,g7h6,475
r1b1k1n1/pppnqpb1/3p2p1/8/3P1Q2/2P2N2/PP2PPP1/RN2KB2 w Qq - 3 11,b1d2,g2g4,-444
r1b1k1n1/pppnqpb1/3p2p1/8/3P1Q2/2P2N2/PP1NPPP1/R3KB2 b Qq - 4 11,g8f6,d7b6,446
r1b1k3/pppnqpb1/3p1np1/8/3P1Q2/2P2N2/PP1NPPP1/R3KB2 w Qq - 5 12,d2c4,e1c1,-437
