fen,played_move_uci,best_move_uci,best_eval
2r2rk1/pp2b1p1/3p3p/4pp2/8/2Nq1nP1/PP3P1P/3RRK2 w - - 0 24,d1d3,d1d3,-650
2r2rk1/pp2b1p1/3p3p/4pp2/8/2NR1nP1/PP3P1P/4RK2 b - - 0 24,f3e1,f3e1,632
2r2rk1/pp2b1p1/3p3p/4pp2/8/2NR2P1/PP3P1P/4nK2 w - - 0 25,f1e1,f1e1,-648
2r2rk1/pp2b1p1/3p3p/4pp2/8/2NR2P1/PP3P1P/4K3 b - - 0 25,f8d8,c8c4,650
2rr2k1/pp2b1p1/3p3p/4pp2/8/2NR2P1/PP3P1P/4K3 w - - 1 26,c3d5,c3d5,-640
2rr2k1/pp2b1p1/3p3p/3Npp2/8/3R2P1/PP3P1P/4K3 b - - 2 26,e7f8,g8f8,620
2rr1bk1/pp4p1/3p3p/3Npp2/8/3R2P1/PP3P1P/4K3 w - - 3 27,d3b3,d3c3,-621
2rr1bk1/pp4p1/3p3p/3Npp2/8/1R4P1/PP3P1P/4K3 b - - 4 27,g8f7,c8c5,617
2rr1b2/pp3kp1/3p3p/3Npp2/8/1R4P1/PP3P1P/4K3 w - - 5 28,b3b7,b3b7,-585
2rr1b2/pR3kp1/3p3p/3Npp2/8/6P1/PP3P1P/4K3 b - - 0 28,f7e6,f7e6,601
2rr1b2/pR4p1/3pk2p/3Npp2/8/6P1/PP3P1P/4K3 w - - 1 29,d5c3,d5c7,-573
2rr1b2/pR4p1/3pk2p/4pp2/8/2N3P1/PP3P1P/4K3 b - - 2 29,d6d5,d8d7,638
2rr1b2/pR4p1/4k2p/3ppp2/8/2N3P1/PP3P1P/4K3 w - - 0 30,c3b5,b7a7,-563
2rr1b2/pR4p1/4k2p/1N1ppp2/8/6P1/PP3P1P/4K3 b - - 1 30,f8b4,d8d7,643
2rr4/pR4p1/4k2p/1N1ppp2/1b6/6P1/PP3P1P/4K3 w - - 2 31,e1f1,e1e2,-559
2rr4/pR4p1/4k2p/1N1ppp2/1b6/6P1/PP3P1P/5K2 b - - 3 31,c8c1,d8d7,633
3r4/pR4p1/4k2p/1N1ppp2/1b6/6P1/PP3P1P/2r2K2 w - - 4 32,f1g2,f1g2,-570
3r4/pR4p1/4k2p/1N1ppp2/1b6/6P1/PP3PKP/2r5 b - - 5 32,e5e4,d5d4,555
3r4/pR4p1/4k2p/1N1p1p2/1b2p3/6P1/PP3PKP/2r5 w - - 0 33,b7g7,b5d4,-490
3r4/p5R1/4k2p/1N1p1p2/1b2p3/6P1/PP3PKP/2r5 b - - 0 33,d5d4,d5d4,567
3r4/p5R1/4k2p/1N3p2/1b1pp3/6P1/PP3PKP/2r5 w - - 0 34,g7g6,g7a7,-597
3r4/p7/4k1Rp/1N3p2/1b1pp3/6P1/PP3PKP/2r5 b - - 1 34,e6d5,e6f7,556
3r4/p7/6Rp/1N1k1p2/1b1pp3/6P1/PP3PKP/2r5 w - - 2 35,a2a3,g6h6,-564
3r4/p7/6Rp/1N1k1p2/1b1pp3/P5P1/1P3PKP/2r5 b - - 0 35,b4c5,b4e1,595
3r4/p7/6Rp/1Nbk1p2/3pp3/P5P1/1P3PKP/2r5 w - - 1 36,b2b4,b2b3,-557
3r4/p7/6Rp/1Nbk1p2/1P1pp3/P5P1/5PKP/2r5 b - - 0 36,c5b6,d4d3,618
3r4/p7/1b4Rp/1N1k1p2/1P1pp3/P5P1/5PKP/2r5 w - - 1 37,g2h3,f2f3,-610
3r4/p7/1b4Rp/1N1k1p2/1P1pp3/P5PK/5P1P/2r5 b - - 2 37,d4d3,d4d3,670
3r4/p7/1b4Rp/1N1k1p2/1P2p3/P2p2PK/5P1P/2r5 w - - 0 38,f2f3,g6g7,-701
3r4/p7/1b4Rp/1N1k1p2/1P2p3/P2p1PPK/7P/2r5 b - - 0 38,d3d2,d5c4,686
3r4/p7/1b4Rp/1N1k1p2/1P2p3/P4PPK/3p3P/2r5 w - - 0 39,f3e4,f3e4,-763
3r4/p7/1b4Rp/1N1k1p2/1P2P3/P5PK/3p3P/2r5 b - - 0 39,f5e4,d5e4,781
3r4/p7/1b4Rp/1N1k4/1P2p3/P5PK/3p3P/2r5 w - - 0 40,g6h6,g6f6,-821
3r4/p7/1b5R/1N1k4/1P2p3/P5PK/3p3P/2r5 b - - 0 40,d2d1q,d5c4,914
3r4/p7/1b5R/1N1k4/1P2p3/P5PK/7P/2rq4 w - - 0 41,h3h4,a3a4,-954
3r4/p7/1b5R/1N1k4/1P2p2K/P5P1/7P/2rq4 b - - 1 41,d1f3,d5c4,988
3r4/p7/1b5R/1N1k4/1P2p2K/P4qP1/7P/2r5 w - - 2 42,h6g6,a3a4,-892
3r4/p7/1b4R1/1N1k4/1P2p2K/P4qP1/7P/2r5 b - - 3 42,b6e3,d8h8,99997
3r4/p7/6R1/1N1k4/1P2p2K/P3bqP1/7P/2r5 w - - 4 43,h2h3,g6h6,-1337
3r4/p7/6R1/1N1k4/1P2p2K/P3bqPP/8/2r5 b - - 0 43,e3f4,d8h8,99998
3r4/p7/6R1/1N1k4/1P2pb1K/P4qPP/8/2r5 w - - 1 44,b5c7,b5c7,-99994
3r4/p1N5/6R1/3k4/1P2pb1K/P4qPP/8/2r5 b - - 2 44,c1c7,c1c7,99995
3r4/p1r5/6R1/3k4/1P2pb1K/P4qPP/8/8 w - - 0 45,g3f4,g6g5,-99996
3r4/p1r5/6R1/3k4/1P2pP1K/P4q1P/8/8 b - - 0 45,f3f4,f3f4,99997
3r4/p1r5/6R1/3k4/1P2pq1K/P6P/8/8 w - - 0 46,g6g4,h4h5,-99998
3r4/p1r5/8/3k4/1P2pqRK/P6P/8/8 b - - 1 46,d8h8,d8h8,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,e2e4,32
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d7d6,d7d5,-21
rnbqkbnr/ppp1pppp/3p4/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,c2c4,d2d4,45
rnbqkbnr/ppp1pppp/3p4/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,c7c6,e7e5,-38
rnbqkbnr/pp2pppp/2pp4/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,g2g3,d2d4,53
rnbqkbnr/pp2pppp/2pp4/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,g8f6,e7e5,-29
rnbqkb1r/pp2pppp/2pp1n2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4,f1g2,d2d4,39
rnbqkb1r/pp2pppp/2pp1n2/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 2 4,g7g6,e7e5,-29
rnbqkb1r/pp2pp1p/2pp1np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 0 5,e1g1,b1c3,31
rnbqkb1r/pp2pp1p/2pp1np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 1 5,f8g7,e7e5,-40
rnbqk2r/pp2ppbp/2pp1np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 2 6,b1c3,d2d4,33
rnbqk2r/pp2ppbp/2pp1np1/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq - 3 6,b8d7,e8g8,-29
r1bqk2r/pp1nppbp/2pp1np1/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 4 7,d2d4,d1c2,33
r1bqk2r/pp1nppbp/2pp1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 0 7,e7e5,e8g8,-39
r1bqk2r/pp1n1pbp/2pp1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq - 0 8,e2e4,d4d5,66
r1bqk2r/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b kq - 0 8,e5d4,e8g8,-47
r1bqk2r/pp1n1pbp/2pp1np1/8/2PpP3/2N2NP1/PP3PBP/R1BQ1RK1 w kq - 0 9,f3d4,f3d4,71
r1bqk2r/pp1n1pbp/2pp1np1/8/2PNP3/2N3P1/PP3PBP/R1BQ1RK1 b kq - 0 9,e8g8,e8g8,-64
r1bq1rk1/pp1n1pbp/2pp1np1/8/2PNP3/2N3P1/PP3PBP/R1BQ1RK1 w - - 1 10,h2h3,h2h3,76
r1bq1rk1/pp1n1pbp/2pp1np1/8/2PNP3/2N3PP/PP3PB1/R1BQ1RK1 b - - 0 10,d8c7,f8e8,-73
r1b2rk1/ppqn1pbp/2pp1np1/8/2PNP3/2N3PP/PP3PB1/R1BQ1RK1 w - - 1 11,f1e1,c1f4,87
r1b2rk1/ppqn1pbp/2pp1np1/8/2PNP3/2N3PP/PP3PB1/R1BQR1K1 b - - 2 11,f8e8,f8e8,-91
r1b1r1k1/ppqn1pbp/2pp1np1/8/2PNP3/2N3PP/PP3PB1/R1BQR1K1 w - - 3 12,c1f4,c1e3,92
r1b1r1k1/ppqn1pbp/2pp1np1/8/2PNPB2/2N3PP/PP3PB1/R2QR1K1 b - - 4 12,d7e5,d7e5,-67
r1b1r1k1/ppq2pbp/2pp1np1/4n3/2PNPB2/2N3PP/PP3PB1/R2QR1K1 w - - 5 13,b2b3,b2b3,90
r1b1r1k1/ppq2pbp/2pp1np1/4n3/2PNPB2/1PN3PP/P4PB1/R2QR1K1 b - - 0 13,f6h5,a7a6,-86
r1b1r1k1/ppq2pbp/2pp2p1/4n2n/2PNPB2/1PN3PP/P4PB1/R2QR1K1 w - - 1 14,f4e3,f4e3,166
r1b1r1k1/ppq2pbp/2pp2p1/4n2n/2PNP3/1PN1B1PP/P4PB1/R2QR1K1 b - - 2 14,a7a6,a7a6,-150
r1b1r1k1/1pq2pbp/p1pp2p1/4n2n/2PNP3/1PN1B1PP/P4PB1/R2QR1K1 w - - 0 15,a1c1,f2f4,172
r1b1r1k1/1pq2pbp/p1pp2p1/4n2n/2PNP3/1PN1B1PP/P4PB1/2RQR1K1 b - - 1 15,c6c5,e5d7,-156
r1b1r1k1/1pq2pbp/p2p2p1/2p1n2n/2PNP3/1PN1B1PP/P4PB1/2RQR1K1 w - - 0 16,c3d5,d4f5,215
r1b1r1k1/1pq2pbp/p2p2p1/2pNn2n/2PNP3/1P2B1PP/P4PB1/2RQR1K1 b - - 1 16,c7d8,c7a5,-191
r1bqr1k1/1p3pbp/p2p2p1/2pNn2n/2PNP3/1P2B1PP/P4PB1/2RQR1K1 w - - 2 17,d4e2,d4f5,238
r1bqr1k1/1p3pbp/p2p2p1/2pNn2n/2P1P3/1P2B1PP/P3NPB1/2RQR1K1 b - - 3 17,c8e6,a8b8,-168
r2qr1k1/1p3pbp/p2pb1p1/2pNn2n/2P1P3/1P2B1PP/P3NPB1/2RQR1K1 w - - 4 18,f2f4,d5c3,188
r2qr1k1/1p3pbp/p2pb1p1/2pNn2n/2P1PP2/1P2B1PP/P3N1B1/2RQR1K1 b - - 0 18,e5c6,e6d5,-157
r2qr1k1/1p3pbp/p1npb1p1/2pN3n/2P1PP2/1P2B1PP/P3N1B1/2RQR1K1 w - - 1 19,g3g4,g3g4,203
r2qr1k1/1p3pbp/p1npb1p1/2pN3n/2P1PPP1/1P2B2P/P3N1B1/2RQR1K1 b - - 0 19,h5f6,h5f6,-187
r2qr1k1/1p3pbp/p1npbnp1/2pN4/2P1PPP1/1P2B2P/P3N1B1/2RQR1K1 w - - 1 20,g4g5,d5c3,190
r2qr1k1/1p3pbp/p1npbnp1/2pN2P1/2P1PP2/1P2B2P/P3N1B1/2RQR1K1 b - - 0 20,f6d5,f6d7,-148
r2qr1k1/1p3pbp/p1npb1p1/2pn2P1/2P1PP2/1P2B2P/P3N1B1/2RQR1K1 w - - 0 21,c4d5,c4d5,370
r2qr1k1/1p3pbp/p1npb1p1/2pP2P1/4PP2/1P2B2P/P3N1B1/2RQR1K1 b - - 0 21,e6d5,e6h3,-360
r2qr1k1/1p3pbp/p1np2p1/2pb2P1/4PP2/1P2B2P/P3N1B1/2RQR1K1 w - - 0 22,d1d5,d1d5,410
r2qr1k1/1p3pbp/p1np2p1/2pQ2P1/4PP2/1P2B2P/P3N1B1/2R1R1K1 b - - 0 22,c6b4,c6b4,-412
r2qr1k1/1p3pbp/p2p2p1/2pQ2P1/1n2PP2/1P2B2P/P3N1B1/2R1R1K1 w - - 1 23,d5d2,d5d2,434
r2qr1k1/1p3pbp/p2p2p1/2p3P1/1n2PP2/1P2B2P/P2QN1B1/2R1R1K1 b - - 2 23,d6d5,a6a5,-436
r2qr1k1/1p3pbp/p5p1/2pp2P1/1n2PP2/1P2B2P/P2QN1B1/2R1R1K1 w - - 0 24,e4d5,e3c5,491
r2qr1k1/1p3pbp/p5p1/2pP2P1/1n3P2/1P2B2P/P2QN1B1/2R1R1K1 b - - 0 24,b4a2,b4a2,-347
r2qr1k1/1p3pbp/p5p1/2pP2P1/5P2/1P2B2P/n2QN1B1/2R1R1K1 w - - 0 25,c1d1,c1d1,406
r2qr1k1/1p3pbp/p5p1/2pP2P1/5P2/1P2B2P/n2QN1B1/3RR1K1 b - - 1 25,a2c3,e8e3,-404
r2qr1k1/1p3pbp/p5p1/2pP2P1/5P2/1Pn1B2P/3QN1B1/3RR1K1 w - - 2 26,e2c3,e2c3,604
r2qr1k1/1p3pbp/p5p1/2pP2P1/5P2/1PN1B2P/3Q2B1/3RR1K1 b - - 0 26,c5c4,e8e3,-625
r2qr1k1/1p3pbp/p5p1/3P2P1/2p2P2/1PN1B2P/3Q2B1/3RR1K1 w - - 0 27,b3c4,b3c4,703
r2qr1k1/1p3pbp/p5p1/3P2P1/2P2P2/2N1B2P/3Q2B1/3RR1K1 b - - 0 27,d8d7,e8e3,-589
r3r1k1/1p1q1pbp/p5p1/3P2P1/2P2P2/2N1B2P/3Q2B1/3RR1K1 w - - 1 28,c4c5,d5d6,703
r3r1k1/1p1q1pbp/p5p1/2PP2P1/5P2/2N1B2P/3Q2B1/3RR1K1 b - - 0 28,h7h6,b7b5,-703
r3r1k1/1p1q1pb1/p5pp/2PP2P1/5P2/2N1B2P/3Q2B1/3RR1K1 w - - 0 29,c5c6,g5h6,719
r3r1k1/1p1q1pb1/p1P3pp/3P2P1/5P2/2N1B2P/3Q2B1/3RR1K1 b - - 0 29,b7c6,b7c6,-673
r3r1k1/3q1pb1/p1p3pp/3P2P1/5P2/2N1B2P/3Q2B1/3RR1K1 w - - 0 30,d5c6,d5c6,656
r3r1k1/3q1pb1/p1P3pp/6P1/5P2/2N1B2P/3Q2B1/3RR1K1 b - - 0 30,d7c7,d7d2,-670
r3r1k1/2q2pb1/p1P3pp/6P1/5P2/2N1B2P/3Q2B1/3RR1K1 w - - 1 31,c3d5,c3d5,701
r3r1k1/2q2pb1/p1P3pp/3N2P1/5P2/4B2P/3Q2B1/3RR1K1 b - - 2 31,c7c8,c7c6,-710
r1q1r1k1/5pb1/p1P3pp/3N2P1/5P2/4B2P/3Q2B1/3RR1K1 w - - 3 32,c6c7,d5f6,701
r1q1r1k1/2P2pb1/p5pp/3N2P1/5P2/4B2P/3Q2B1/3RR1K1 b - - 0 32,c8f5,c8f5,-771
r3r1k1/2P2pb1/p5pp/3N1qP1/5P2/4B2P/3Q2B1/3RR1K1 w - - 1 33,d5b6,e3f2,770
r3r1k1/2P2pb1/pN4pp/5qP1/5P2/4B2P/3Q2B1/3RR1K1 b - - 2 33,a8c8,h6g5,-648
2r1r1k1/2P2pb1/pN4pp/5qP1/5P2/4B2P/3Q2B1/3RR1K1 w - - 3 34,b6c8,b6c8,731
2N1r1k1/2P2pb1/p5pp/5qP1/5P2/4B2P/3Q2B1/3RR1K1 b - - 0 34,f5c8,e8c8,-739
2q1r1k1/2P2pb1/p5pp/6P1/5P2/4B2P/3Q2B1/3RR1K1 w - - 0 35,d2d8,d2d7,744
2qQr1k1/2P2pb1/p5pp/6P1/5P2/4B2P/6B1/3RR1K1 b - - 1 35,h6g5,c8c7,-776
2qQr1k1/2P2pb1/p5p1/6p1/5P2/4B2P/6B1/3RR1K1 w - - 0 36,d8e8,d8e8,811
2q1Q1k1/2P2pb1/p5p1/6p1/5P2/4B2P/6B1/3RR1K1 b - - 0 36,c8e8,c8e8,-793
4q1k1/2P2pb1/p5p1/6p1/5P2/4B2P/6B1/3RR1K1 w - - 0 37,d1d8,d1d8,814
3Rq1k1/2P2pb1/p5p1/6p1/5P2/4B2P/6B1/4R1K1 b - - 1 37,e8d8,e8d8,-834
3q2k1/2P2pb1/p5p1/6p1/5P2/4B2P/6B1/4R1K1 w - - 0 38,c7d8q,c7d8q,871
3Q2k1/5pb1/p5p1/6p1/5P2/4B2P/6B1/4R1K1 b - - 0 38,g8h7,g7f8,-925
3Q4/5pbk/p5p1/6p1/5P2/4B2P/6B1/4R1K1 w - - 1 39,d8g5,f4g5,965
8/5pbk/p5p1/6Q1/5P2/4B2P/6B1/4R1K1 b - - 0 39,f7f6,f7f6,-809
8/6bk/p4pp1/6Q1/5P2/4B2P/6B1/4R1K1 w - - 0 40,g5h4,g5h4,99995
8/6bk/p4pp1/8/5P1Q/4B2P/6B1/4R1K1 b - - 1 40,g7h6,g7h6,-99996
8/7k/p4ppb/8/5P1Q/4B2P/6B1/4R1K1 w - - 2 41,h4g4,e3d4,99996
8/7k/p4ppb/8/5PQ1/4B2P/6B1/4R1K1 b - - 3 41,h7g7,a6a5,-891
8/6k1/p4ppb/8/5PQ1/4B2P/6B1/4R1K1 w - - 4 42,f4f5,e3d4,99995
8/6k1/p4ppb/5P2/6Q1/4B2P/6B1/4R1K1 b - - 0 42,g6g5,h6e3,-804
8/6k1/p4p1b/5Pp1/6Q1/4B2P/6B1/4R1K1 w - - 0 43,g2d5,e3d4,99995
8/6k1/p4p1b/3B1Pp1/6Q1/4B2P/8/4R1K1 b - - 1 43,g7h7,g7h8,-99996
8/7k/p4p1b/3B1Pp1/6Q1/4B2P/8/4R1K1 w - - 2 44,g4h5,e3d4,99996
8/7k/p4p1b/3B1PpQ/8/4B2P/8/4R1K1 b - - 3 44,h7g7,h7g7,-99998
8/6k1/p4p1b/3B1PpQ/8/4B2P/8/4R1K1 w - - 4 45,h5g6,h5g6,99998
8/6k1/p4pQb/3B1Pp1/8/4B2P/8/4R1K1 b - - 5 45,g7h8,g7h8,-99999
7k/8/p4pQb/3B1Pp1/8/4B2P/8/4R1K1 w - - 6 46,g6f6,g6h6,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4,32
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,c7c5,-31
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,g1f3,25
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6,e7e6,-29
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d2d4,d2d4,31
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,c5d4,c5d4,-31
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,f3d4,f3d4,34
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,g8f6,e7e5,-43
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,f1d3,b1c3,54
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq - 2 5,b8c6,g7g6,4
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/3B4/PPP2PPP/RNBQK2R w KQkq - 3 6,d4c6,d4f3,-5
r1bqkb1r/pp2pppp/2Np1n2/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq - 0 6,b7c6,b7c6,8
r1bqkb1r/p3pppp/2pp1n2/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq - 0 7,b1c3,b2b3,-11
r1bqkb1r/p3pppp/2pp1n2/8/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7,g7g6,g7g6,21
r1bqkb1r/p3pp1p/2pp1np1/8/4P3/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 8,e1g1,a1b1,-1
r1bqkb1r/p3pp1p/2pp1np1/8/4P3/2NB4/PPP2PPP/R1BQ1RK1 b kq - 1 8,f8g7,f8g7,1
r1bqk2r/p3ppbp/2pp1np1/8/4P3/2NB4/PPP2PPP/R1BQ1RK1 w kq - 2 9,f1e1,d1e1,4
r1bqk2r/p3ppbp/2pp1np1/8/4P3/2NB4/PPP2PPP/R1BQR1K1 b kq - 3 9,e8g8,a8b8,11
r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2NB4/PPP2PPP/R1BQR1K1 w - - 4 10,h2h3,a1b1,-8
r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2NB3P/PPP2PP1/R1BQR1K1 b - - 0 10,a8b8,a8b8,13
1rbq1rk1/p3ppbp/2pp1np1/8/4P3/2NB3P/PPP2PP1/R1BQR1K1 w - - 1 11,b2b3,a1b1,-2
1rbq1rk1/p3ppbp/2pp1np1/8/4P3/1PNB3P/P1P2PP1/R1BQR1K1 b - - 0 11,f6d7,f6e4,107
1rbq1rk1/p2nppbp/2pp2p1/8/4P3/1PNB3P/P1P2PP1/R1BQR1K1 w - - 1 12,c1b2,c1b2,7
1rbq1rk1/p2nppbp/2pp2p1/8/4P3/1PNB3P/PBP2PP1/R2QR1K1 b - - 2 12,d8a5,d7c5,-1
1rb2rk1/p2nppbp/2pp2p1/q7/4P3/1PNB3P/PBP2PP1/R2QR1K1 w - - 3 13,c3a4,c3a4,13
1rb2rk1/p2nppbp/2pp2p1/q7/N3P3/1P1B3P/PBP2PP1/R2QR1K1 b - - 4 13,g7b2,d7c5,-12
1rb2rk1/p2npp1p/2pp2p1/q7/N3P3/1P1B3P/PbP2PP1/R2QR1K1 w - - 0 14,a4b2,a4b2,26
1rb2rk1/p2npp1p/2pp2p1/q7/4P3/1P1B3P/PNP2PP1/R2QR1K1 b - - 0 14,d6d5,a5c3,-20
1rb2rk1/p2npp1p/2p3p1/q2p4/4P3/1P1B3P/PNP2PP1/R2QR1K1 w - - 0 15,e4d5,d3f1,46
1rb2rk1/p2npp1p/2p3p1/q2P4/8/1P1B3P/PNP2PP1/R2QR1K1 b - - 0 15,c6d5,c6d5,-17
1rb2rk1/p2npp1p/6p1/q2p4/8/1P1B3P/PNP2PP1/R2QR1K1 w - - 0 16,e1e7,c2c4,44
1rb2rk1/p2nRp1p/6p1/q2p4/8/1P1B3P/PNP2PP1/R2Q2K1 b - - 0 16,d7f6,a5a3,224
1rb2rk1/p3Rp1p/5np1/q2p4/8/1P1B3P/PNP2PP1/R2Q2K1 w - - 1 17,d1e1,d1e1,199
1rb2rk1/p3Rp1p/5np1/q2p4/8/1P1B3P/PNP2PP1/R3Q1K1 b - - 2 17,a5b6,a5e1,-173
1rb2rk1/p3Rp1p/1q3np1/3p4/8/1P1B3P/PNP2PP1/R3Q1K1 w - - 3 18,b2a4,b2a4,204
1rb2rk1/p3Rp1p/1q3np1/3p4/N7/1P1B3P/P1P2PP1/R3Q1K1 b - - 4 18,b6d6,b6d6,-210
1rb2rk1/p3Rp1p/3q1np1/3p4/N7/1P1B3P/P1P2PP1/R3Q1K1 w - - 5 19,e1e5,e1e3,207
1rb2rk1/p3Rp1p/3q1np1/3pQ3/N7/1P1B3P/P1P2PP1/R5K1 b - - 6 19,d6e5,d6e5,-179
1rb2rk1/p3Rp1p/5np1/3pq3/N7/1P1B3P/P1P2PP1/R5K1 w - - 0 20,e7e5,e7e5,183
1rb2rk1/p4p1p/5np1/3pR3/N7/1P1B3P/P1P2PP1/R5K1 b - - 0 20,c8e6,c8d7,-203
1r3rk1/p4p1p/4bnp1/3pR3/N7/1P1B3P/P1P2PP1/R5K1 w - - 1 21,a1e1,a4c5,281
1r3rk1/p4p1p/4bnp1/3pR3/N7/1P1B3P/P1P2PP1/4R1K1 b - - 2 21,f6d7,f8c8,-140
1r3rk1/p2n1p1p/4b1p1/3pR3/N7/1P1B3P/P1P2PP1/4R1K1 w - - 3 22,e5e2,e5e2,154
1r3rk1/p2n1p1p/4b1p1/3p4/N7/1P1B3P/P1P1RPP1/4R1K1 b - - 4 22,f8c8,f8c8,-154
1rr3k1/p2n1p1p/4b1p1/3p4/N7/1P1B3P/P1P1RPP1/4R1K1 w - - 5 23,a4b2,h3h4,156
1rr3k1/p2n1p1p/4b1p1/3p4/8/1P1B3P/PNP1RPP1/4R1K1 b - - 6 23,c8c5,d7c5,-111
1r4k1/p2n1p1p/4b1p1/2rp4/8/1P1B3P/PNP1RPP1/4R1K1 w - - 7 24,e2d2,e2d2,137
1r4k1/p2n1p1p/4b1p1/2rp4/8/1P1B3P/PNPR1PP1/4R1K1 b - - 8 24,b8c8,b8c8,-131
2r3k1/p2n1p1p/4b1p1/2rp4/8/1P1B3P/PNPR1PP1/4R1K1 w - - 9 25,e1d1,b2d1,139
2r3k1/p2n1p1p/4b1p1/2rp4/8/1P1B3P/PNPR1PP1/3R2K1 b - - 10 25,d7b6,g8g7,-123
2r3k1/p4p1p/1n2b1p1/2rp4/8/1P1B3P/PNPR1PP1/3R2K1 w - - 11 26,a2a4,d2e2,125
2r3k1/p4p1p/1n2b1p1/2rp4/P7/1P1B3P/1NPR1PP1/3R2K1 b - - 0 26,a7a5,g8g7,-110
2r3k1/5p1p/1n2b1p1/p1rp4/P7/1P1B3P/1NPR1PP1/3R2K1 w - - 0 27,g1f1,d2e2,159
2r3k1/5p1p/1n2b1p1/p1rp4/P7/1P1B3P/1NPR1PP1/3R1K2 b - - 1 27,b6a8,g8g7,-83
n1r3k1/5p1p/4b1p1/p1rp4/P7/1P1B3P/1NPR1PP1/3R1K2 w - - 2 28,f1e1,f1e1,162
n1r3k1/5p1p/4b1p1/p1rp4/P7/1P1B3P/1NPR1PP1/3RK3 b - - 3 28,a8c7,a8c7,-132
2r3k1/2n2p1p/4b1p1/p1rp4/P7/1P1B3P/1NPR1PP1/3RK3 w - - 4 29,c2c4,d3e2,134
2r3k1/2n2p1p/4b1p1/p1rp4/P1P5/1P1B3P/1N1R1PP1/3RK3 b - - 0 29,d5d4,c8e8,-31
2r3k1/2n2p1p/4b1p1/p1r5/P1Pp4/1P1B3P/1N1R1PP1/3RK3 w - - 0 30,d3e4,d3c2,219
2r3k1/2n2p1p/4b1p1/p1r5/P1PpB3/1P5P/1N1R1PP1/3RK3 b - - 1 30,c5e5,c5e5,-214
2r3k1/2n2p1p/4b1p1/p3r3/P1PpB3/1P5P/1N1R1PP1/3RK3 w - - 2 31,f2f3,d2e2,228
2r3k1/2n2p1p/4b1p1/p3r3/P1PpB3/1P3P1P/1N1R2P1/3RK3 b - - 0 31,f7f5,e6f5,-248
2r3k1/2n4p/4b1p1/p3rp2/P1PpB3/1P3P1P/1N1R2P1/3RK3 w - - 0 32,b2d3,b2d3,424
2r3k1/2n4p/4b1p1/p3rp2/P1PpB3/1P1N1P1P/3R2P1/3RK3 b - - 1 32,e5e4,e5e4,-454
2r3k1/2n4p/4b1p1/p4p2/P1Ppr3/1P1N1P1P/3R2P1/3RK3 w - - 0 33,f3e4,f3e4,441
